nombre_gp,pais,longitud_km,tipo_pista
GP Bahrein,Bahrein,5.412,Mixto
GP Arabia Saudita,Arabia Saudita,6.174,Velocidad
GP Australia,Australia,5.278,Mixto
GP Japon,Japon,5.807,Tecnico
GP China,China,5.451,Mixto
GP Miami,Estados Unidos,5.412,Urbano
GP Emilia Romagna,Italia,4.909,Tecnico
GP Monaco,Monaco,3.337,Urbano
GP Canada,Canada,4.361,Urbano
GP Espana,Espana,4.657,Tecnico
GP Austria,Austria,4.318,Velocidad
GP Gran Bretana,Reino Unido,5.891,Velocidad
GP Hungria,Hungria,4.381,Tecnico
GP Belgica,Belgica,7.004,Velocidad
GP Paises Bajos,Paises Bajos,4.259,Mixto
GP Italia,Italia,5.793,Velocidad
GP Singapur,Singapur,4.940,Urbano
GP Mexico,Mexico,4.304,Mixto
GP Brasil,Brasil,4.309,Mixto
GP Las Vegas,Estados Unidos,6.201,Urbano
GP Qatar,Qatar,5.412,Velocidad
GP Abu Dabi,Emiratos Arabes Unidos,5.281,Mixto
