nombre,apellido,nacionalidad,edad
Max,Verstappen,Paises Bajos,28
Franco,Colapinto,Argentina,22
Lewis,Hamilton,Reino Unido,41
Charles,Leclerc,Monaco,28
Lando,Norris,Reino Unido,26
Oscar,Piastri,Australia,25
George,Russell,Reino Unido,28
Fernando,Alonso,Espana,44
Carlos,Sainz,Espana,31
Pierre,Gasly,Francia,30
Esteban,Ocon,Francia,29
Yuki,Tsunoda,Japon,25
Alexander,Albon,Tailandia,29
Andrea,Antonelli,Italia,19
Oliver,Bearman,Reino Unido,20
Gabriel,Bortoleto,Brasil,21
Isack,Hadjar,Francia,21
Liam,Lawson,Nueva Zelanda,24
